Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
415a15e8,jf04wvaw5380,PreTest,,MMX,415a15e8-5184-4e75-90c2-c7f7dc2c2b30,22020797840,,[]
be6e188e,jf04wvaw5380,PreTest,,MMX,be6e188e-54a0-4ac7-9de4-284bf923ad2c,22020797840,,[]
271e2c65,jf04wvaw5380,PreTest,,MMX,271e2c65-46e1-41d9-aeec-dd80791ad8e0,22020797840,,[]
c3218d3d,jf04wvaw5380,PreTest,,MMX,c3218d3d-f3b8-4eb3-a11a-bb4736d72ab8,NA,,[]
cd997d64,jf04wvaw5356,Test,ed7bfec1-1add-4b97-9b96-afd7c60b8b91,MMX,cd997d64-7b00-42b8-9110-51f1ff4cd5d4,14024231227,https://axonsv.app.intel.com/apps/record-viewer/ed7bfec1-1add-4b97-9b96-afd7c60b8b91,"['HW.ERR', 'HW.CORR', 'HW']"
831cea5f,jf04wvaw5380,PreBoot,,MMX,831cea5f-af6d-4acb-9001-5a7250767625,NA,,[]
cf5a7d0c,jf04wvaw5356,PreBoot,,MMX,cf5a7d0c-49a7-488a-afca-6e92e154e4c6,NA,,[]
6fe32601,ba05wvaw0118,Test,bcffaaf7-6881-446c-93a5-b94de861474f,Memory,6fe32601-dc73-4458-99bc-c97576c5338c,NA,https://axonsv.app.intel.com/apps/record-viewer/bcffaaf7-6881-446c-93a5-b94de861474f,"['HW.ERR', 'HW.CORR', 'HW']"
9872226b,jf04wvaw5380,PreBoot,,MMX,9872226b-ff46-42b4-b674-3d13e064fe6e,NA,,[]
53092fd9,jf04wvaw5320,PreBoot,,MMX,53092fd9-bcf1-4603-94fb-b59c18a98477,NA,,[]
22d646be,jf04wvaw5189,PreBoot,,MMX,22d646be-0fea-4165-8ee6-c994ea60f1a0,NA,,[]
cee8e4a3,jf04wvaw5048,PreBoot,,MMX,cee8e4a3-fbe4-4714-9f6c-bd1154b3a96c,NA,,[]
d051ff72,jf04wvaw5327,PreBoot,,MMX,d051ff72-2d2e-4754-8961-edcb316a9c57,NA,,[]
180486b2,jf04wvaw5028,PreBoot,,MMX,180486b2-c9f3-4009-b695-8be7285b037b,NA,,[]
945a7bae,jf04wvaw5320,Test,b62cab98-700c-40e5-9b31-5aa0b24dbba6,MMX,945a7bae-e63c-427c-8d45-d3c9c8f2eaa2,NA,https://axonsv.app.intel.com/apps/record-viewer/b62cab98-700c-40e5-9b31-5aa0b24dbba6,"['HW.ERR', 'HW.CORR', 'HW']"
2e56124b,jf04wvaw5318,PreBoot,,MMX,2e56124b-46da-4f79-aa40-8ad91972521e,NA,,[]
a488f3ba,jf04wvaw5318,PreBoot,,MMX,a488f3ba-1d48-4dfb-b53c-7de4bd7260d5,NA,,[]
c825cb08,jf04wvaw5318,PreBoot,,MMX,c825cb08-a6a7-4e16-89b8-9bd26005543f,NA,,[]
1cbc7a8e,jf04wvaw5318,PreBoot,,MMX,1cbc7a8e-4bc4-4dac-bc78-4a85b724c6ee,NA,,[]
016f1ee1,jf04wvaw5318,PreBoot,,MMX,016f1ee1-7ece-416f-9db8-e8b28d881dc5,NA,,[]
b46cc329,ba05wvaw0073,PreBoot,,CXL,b46cc329-99b8-4056-943b-df500300972f,NA,,[]
87535b3a,ba05wvaw0118,PreBoot,9af9c42c-c6f3-471e-9254-cadd910a9f4f,CXL,87535b3a-514b-445a-a033-38dd84538b79,NA,https://axonsv.app.intel.com/apps/record-viewer/9af9c42c-c6f3-471e-9254-cadd910a9f4f,"['HW', 'HW.ERR', 'HW.CORR']"
0208b70b,jf04wvaw5318,PreBoot,,MMX,0208b70b-2b4b-4122-939c-14ce1604e779,NA,,[]
dd259c2c,jf04wvaw5318,PreBoot,,MMX,dd259c2c-0c85-42cb-bd16-e9d44b983092,NA,,[]
156b5a8c,jf04wvaw5318,PreBoot,,MMX,156b5a8c-fe47-4397-b2e8-96689661d945,NA,,[]
f9eaaa91,ba05wvaw0141,PreBoot,,CXL,f9eaaa91-dc28-48d0-bd6c-f268c78134ed,NA,,[]
ab5cbe97,jf04wvaw5320,Test,8fc6e350-efaf-444b-afba-417d447f17a0,MMX,ab5cbe97-4124-4d3d-a63c-f8cb20097781,NA,https://axonsv.app.intel.com/apps/record-viewer/8fc6e350-efaf-444b-afba-417d447f17a0,"['HW', 'HW.MCE.IMC', 'HW.ERR', 'HW.CORR']"
ddf2585b,jf04wvaw5318,PreTest,,MMX,ddf2585b-27a6-446e-9930-df3f62ff82f7,NA,,[]
5d7d8c09,ba05wvaw0163,Test,eedc535d-2c5a-4b39-80ff-e7394efa63c1,CXL,5d7d8c09-54ee-49cd-b908-ccfe15d113e7,NA,https://axonsv.app.intel.com/apps/record-viewer/eedc535d-2c5a-4b39-80ff-e7394efa63c1,"['HW', 'HW.ERR', 'HW.CORR', 'HW.CFG.ERR']"
efa02ab9,jf04wvaw5028,Test,,MMX,efa02ab9-8b30-4094-ad26-913d95218d50,NA,,[]
e6919337,jf04wvaw5318,PreTest,,MMX,e6919337-d269-480e-838a-0c7ba8d8482b,NA,,[]
64cafdf0,jf04wvaw5318,PreTest,,MMX,64cafdf0-9cd8-4725-84f4-ba88e5501abf,NA,,[]
787973b6,jf04wvaw5318,PreTest,,MMX,787973b6-c7b7-4e0b-b5ff-daa704da7b31,NA,,[]
