Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
62678ab7,ba05wvaw0146,PreBoot,,VEE,62678ab7-0ea1-4cdf-911e-c3b8cd053842,NA,,[]
aba37100,jf04wvaw5094,PreBoot,,VEE,aba37100-89ab-4e68-9481-73a53741f4d9,NA,,[]
f34b1ee1,jf04wvaw5327,PreBoot,,VEE,f34b1ee1-fb38-44c7-9bb7-0a0292b9dad4,NA,,[]
745f60bf,jf04wvaw5299,PreBoot,,VEE,745f60bf-5d2b-4918-927c-7172f1bb412e,NA,,[]
f33a36fe,jf04wvaw5094,PreBoot,,VEE,f33a36fe-8d49-4746-be1e-41425eea822b,NA,,[]
21517944,jf04wvaw5327,PreBoot,,VEE,21517944-a415-42e4-ad1d-369097e94a9d,NA,,[]
15ed073c,jf04wvaw5327,PreBoot,,VEE,15ed073c-a954-4550-a3e1-311e5887e529,NA,,[]
34123db8,jf04wvaw5312,PreBoot,,VEE,34123db8-b839-46b2-920e-3be9dd76bf99,NA,,[]
111ff00d,jf04wvaw5164,PreBoot,1866e6fd-016d-4e3c-bb50-1af7de3f8b05,VEE,111ff00d-c164-4fe1-9da0-6dd1a1a21cc6,NA,https://axonsv.app.intel.com/apps/record-viewer/1866e6fd-016d-4e3c-bb50-1af7de3f8b05,"['HW.ERR', 'HW.CORR', 'HW']"
b478d56d,jf04wvaw5327,PreBoot,,VEE,b478d56d-6169-429c-9577-c66526c0c51e,NA,,[]
2c4aaaef,jf04wvaw5327,PreBoot,,VEE,2c4aaaef-f8fc-43cc-992a-7a527b426b76,NA,,[]
ee29f781,jf04wvaw5327,PreBoot,,VEE,ee29f781-8595-4438-b760-b628844df1b6,NA,,[]
74f6c346,jf04wvaw5098,PreBoot,,VEE,74f6c346-7c12-48b8-9057-93484a6d9f7b,NA,,[]
f9cfb03d,jf04wvaw5327,PreBoot,,VEE,f9cfb03d-0929-48a4-bb09-7b2016004a20,NA,,[]
7d6ad66e,jf04wvaw5001,PreTest,,VEE,7d6ad66e-3fd8-4550-b2d8-e1a472259700,NA,,[]
444adb74,jf04wvaw5098,PreBoot,,VEE,444adb74-ccf9-44e0-a679-62556675acb2,NA,,[]
b052d5cc,jf04wvaw5048,PostTest,,VEE,b052d5cc-1296-460a-bdfa-00b706ce44b7,14024017331,,[]
b43c25a0,jf04wvaw5327,PreBoot,,VEE,b43c25a0-580d-4ba4-a4c0-1fa890292a8e,NA,,[]
75a7565c,jf04wvaw5327,PreBoot,,VEE,75a7565c-ffc7-4a4a-b6a0-9c4673795212,NA,,[]
8d7f8dc8,jf04wvaw5327,PreBoot,,VEE,8d7f8dc8-916f-426e-bc6e-153999d0eb95,NA,,[]
b5783506,ba05wvaw0146,PreBoot,,VEE,b5783506-0798-4ac0-ad17-4ec7aace0d0e,NA,,[]
3e650222,ba05wvaw0146,PreBoot,,VEE,3e650222-0b21-4f73-ae2f-5e6a60c85f0d,NA,,[]
7d66c304,ba05wvaw0146,PreBoot,,VEE,7d66c304-1d8f-4583-9c2f-2ee4bee64bb6,NA,,[]
2b02080d,ba05wvaw0146,PreBoot,,VEE,2b02080d-cbcb-44a2-ab2c-518b99c87415,NA,,[]
c11ad8bc,ba05wvaw0146,PreBoot,,VEE,c11ad8bc-97d3-4afd-bdaa-700dd5550e99,NA,,[]
0972dfdd,ba05wvaw0011,Test,41b08612-4fcf-44c1-a9cc-2437df9c6a18,VEE,0972dfdd-67a7-4931-a813-efed8f1f0683,NA,https://axonsv.app.intel.com/apps/record-viewer/41b08612-4fcf-44c1-a9cc-2437df9c6a18,['SW.FW']
6bfd4617,ba05wvaw0141,PostTest,12181464-4333-4989-8430-9b7dec7c2c14,PM,6bfd4617-4445-43f3-9d0a-f8913d46e756,NA,https://axonsv.app.intel.com/apps/record-viewer/12181464-4333-4989-8430-9b7dec7c2c14,"['HW.ERR', 'HW', 'HW.CORR']"
764f7696,ba05wvaw0146,PreBoot,,PM,764f7696-432e-4c86-900f-6d57957fbe89,NA,,[]
d031bf66,ba05wvaw0064,PreBoot,,PM,d031bf66-8c40-4236-89bf-ce108087282d,NA,,[]
32aa2718,ba05wvaw0146,PreBoot,,VEE,32aa2718-563b-41d5-985b-06dec644db89,NA,,[]
148f8e28,ba05wvaw0141,PreTest,,VEE,148f8e28-7698-4c01-9759-02a3f6038075,NA,,[]
7fa949aa,ba05wvaw0116,PostTest,d6c801c0-a9ee-4c13-8dbc-e61df3f871b8,VEE,7fa949aa-c977-4c2d-9944-e0299968d3cb,NA,https://axonsv.app.intel.com/apps/record-viewer/d6c801c0-a9ee-4c13-8dbc-e61df3f871b8,"['HW.ERR', 'HW.CORR', 'HW']"
5599de5d,ba05wvaw0149,PostTest,ae6c0352-85ac-1d26-8153-f93a1082d56c,VEE,5599de5d-ebe0-4883-a659-62a55958349d,NA,https://axonsv.app.intel.com/apps/record-viewer/ae6c0352-85ac-1d26-8153-f93a1082d56c,"['HW.ERR', 'HW', 'HW.CORR']"
47b9c399,ba05wvaw0064,PreTest,,VEE,47b9c399-21b1-457a-a218-a159f5766f5c,NA,,[]
a73d6777,jf04wvaw5327,PreBoot,,VEE,a73d6777-d84f-4cac-b197-38de061d19cd,NA,,[]
aee38bd2,jf04wvaw5094,PreBoot,,VEE,aee38bd2-30ff-4eae-9ac6-762de8680831,NA,,[]
