Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
aecd0779,ba05wvaw0113,PreBoot,,UPI,aecd0779-d7ed-445d-96a0-ba81e15c8e8d,NA,,[]
6d708f13,ba05wvaw0148,Test,38028e6f-9fa0-46d3-a3e5-c9146c28ea48,Memory,6d708f13-9cac-4bbd-a92f-c87486d6b817,NA,https://axonsv.app.intel.com/apps/record-viewer/38028e6f-9fa0-46d3-a3e5-c9146c28ea48,"['HW', 'HW.CORR', 'HW.MCE.IMC', 'HW.ERR']"
2fb0f3df,ba05wvaw0111,Test,4424ceb1-a85d-46bb-bc9b-d1daf7efc02b,Memory,2fb0f3df-2c5e-4741-85fb-d89241b94f03,NA,https://axonsv.app.intel.com/apps/record-viewer/4424ceb1-a85d-46bb-bc9b-d1daf7efc02b,"['HW', 'HW.ERR', 'HW.CORR']"
32e223a5,ba05wvaw0054,PreTest,,Memory,32e223a5-3023-4a5b-a7c8-a1ab75856fca,NA,,[]
e0cecb58,ba05wvaw0081,Test,8147d55e-d7d0-f491-7905-856e959cf755,Memory,e0cecb58-63ac-44f1-a2da-d64832992065,NA,https://axonsv.app.intel.com/apps/record-viewer/8147d55e-d7d0-f491-7905-856e959cf755,"['HW.ERR', 'HW.MCE.DCU', 'HW', 'HW.CORR', 'HW.MCE.IMC']"
a38de732,jf04wvaw5312,Test,13980a91-5509-4ad4-9404-9aa653b3499f,MMX,a38de732-36a3-4514-a6d5-2b70ccf47ce0,NA,https://axonsv.app.intel.com/apps/record-viewer/13980a91-5509-4ad4-9404-9aa653b3499f,"['HW.CORR', 'HW.MCE.IMC', 'HW', 'HW.ERR']"
60def5aa,ba05wvaw0053,PreBoot,,Memory,60def5aa-d903-469a-82e2-db0c926e6128,NA,,[]
309c31ef,ba05wvaw0113,Test,d278d13c-2bf5-4d77-b782-be2538c786f7,Memory,309c31ef-f790-4b85-9ed4-763ab8f4f9b4,NA,https://axonsv.app.intel.com/apps/record-viewer/d278d13c-2bf5-4d77-b782-be2538c786f7,"['HW', 'HW.ERR', 'HW.CORR', 'HW.MCE.IMC']"
c4b51906,ba05wvaw0054,Test,57e96e95-7161-465c-bbfc-a638ac6501b0,Memory,c4b51906-1beb-4d2b-8d8e-a56f4a840be9,NA,https://axonsv.app.intel.com/apps/record-viewer/57e96e95-7161-465c-bbfc-a638ac6501b0,"['HW.CORR', 'HW']"
29166aab,jf04wvaw5316,Test,4a2e8735-e63b-4332-9979-8cde02edcb23,MMX,29166aab-c813-484f-be38-46b71ffec801,NA,https://axonsv.app.intel.com/apps/record-viewer/4a2e8735-e63b-4332-9979-8cde02edcb23,"['HW.CORR', 'HW', 'HW.ERR']"
