Failure Name,NGA_Link,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
ce989eba,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/ce989eba-f565-4265-bfcd-43844ee5edce,ba05wvaw0131,Test,0f02d786-44d8-2c79-a2bc-167184abb26a,RDT_Mesh,ce989eba-f565-4265-bfcd-43844ee5edce,NA,https://axonsv.app.intel.com/apps/record-viewer/0f02d786-44d8-2c79-a2bc-167184abb26a,"['HW', 'HW.CFG.ERR', 'HW.CORR', 'HW.ERR', 'HW.MCE.PUNIT', 'HW.MCE.UPI', 'SW.FW']"
383a4cb6,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/383a4cb6-88ab-4d55-a038-d0f8bdaa2d27,ba05wvaw0064,RebootStation,06ec4754-02c8-4944-bdc3-afed29e6238b,CXL,383a4cb6-88ab-4d55-a038-d0f8bdaa2d27,14023015502,https://axonsv.app.intel.com/apps/record-viewer/06ec4754-02c8-4944-bdc3-afed29e6238b,"['SW.FW', 'HW']"
4108625c,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/4108625c-3004-47a2-b7be-e2b5eb5986e7,ba05wvaw0021,PreBoot,NoMatch,CI_GNR_AP_DF_OSPL_SQ,4108625c-3004-47a2-b7be-e2b5eb5986e7,NA,,[]
f07bd5be,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/f07bd5be-bb45-4526-938c-71a99a36ffa1,ba05wvaw0021,PreBoot,NoMatch,CI_GNR_AP_DF_OSPL_SQ,f07bd5be-bb45-4526-938c-71a99a36ffa1,NA,,[]
0bd2b183,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/0bd2b183-03a1-4702-9068-a0da145c4d45,ba05wvaw0149,PreBoot,File not found,CI_GNR_AP_DF_OSPL_SQ,0bd2b183-03a1-4702-9068-a0da145c4d45,NA,,[]
c52dc510,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/c52dc510-a9d8-443f-9a90-25595c220d92,jf04wvaw5337,Test,d791353a-aa1c-4e5e-b4a3-2241d7699c37,Mesh,c52dc510-a9d8-443f-9a90-25595c220d92,16023994363,https://axonsv.app.intel.com/apps/record-viewer/d791353a-aa1c-4e5e-b4a3-2241d7699c37,"['HW', 'HW.CORR', 'HW.ERR']"
6caa33bd,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/6caa33bd-f794-47f0-a87a-5ea287548652,jf04wvaw5119,PreTest,,CXL,6caa33bd-f794-47f0-a87a-5ea287548652,14022892347,,[]
da91e7c1,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/da91e7c1-a3d5-400b-97ee-78a05aa2d60a,ba05wvaw0113,PreBoot,File not found,CI_GNR_AP_DF_OSPL_SQ,da91e7c1-a3d5-400b-97ee-78a05aa2d60a,NA,,[]
Platform_RAPL_Perf_Status_is_stuck_Delta_Perf_Status_0,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/2b5ebe9e-c72f-4968-a51b-a308830b5a70,ba05wvaw0117,Test,538afe35-9753-44a4-b0fb-3d96a92e83e1,PM,2b5ebe9e-c72f-4968-a51b-a308830b5a70,NA,https://axonsv.app.intel.com/apps/record-viewer/538afe35-9753-44a4-b0fb-3d96a92e83e1,"['PSYS_Focus', 'HW.ERR', 'HW', 'HW.CORR']"
7a300c00,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/7a300c00-1839-4854-8e0c-861714db82e6,jf04wvaw5160,Test,edfb025d-707e-4f67-863f-e50ae30c8b2f,MMX,7a300c00-1839-4854-8e0c-861714db82e6,NA,https://axonsv.app.intel.com/apps/record-viewer/edfb025d-707e-4f67-863f-e50ae30c8b2f,"['HW', 'HW.ERR', 'HW.CORR']"
7f2915a0,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/7f2915a0-4439-4cc0-98a6-44482e3ef0ab,ba05wvaw0149,PreBoot,NoMatch,CI_GNR_AP_DF_OSPL_SQ,7f2915a0-4439-4cc0-98a6-44482e3ef0ab,NA,,[]
fbe82716,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/fbe82716-a6f6-49a1-81a5-64b274b58afc,ba05wvaw0113,PreBoot,,CI_GNR_AP_DF_OSPL_SQ,fbe82716-a6f6-49a1-81a5-64b274b58afc,NA,,[]
c6a8a217,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/c6a8a217-00cb-4941-97c2-46a6cd34b0d1,ba05wvaw0118,RebootStation,18bb1fd1-c44f-4464-ba95-b53a2ed02097,RDT_Mesh,c6a8a217-00cb-4941-97c2-46a6cd34b0d1,14023015502,https://axonsv.app.intel.com/apps/record-viewer/18bb1fd1-c44f-4464-ba95-b53a2ed02097,"['SW.FW', 'HW']"
fe85c67c,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/fe85c67c-27d8-40d0-a464-201e0d103cb8,ba05wvaw0100,PreBoot,,PM,fe85c67c-27d8-40d0-a464-201e0d103cb8,NA,,[]
FAIL_package_cstate_check_mainTest_verification_failed,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/140ec1dc-ae05-4f11-91ac-21ef01491bf3,jf04wvaw5005,Test,bd674d3f-0ba6-46ce-a002-b76935e582ea,PM,140ec1dc-ae05-4f11-91ac-21ef01491bf3,16024646517,https://axonsv.app.intel.com/apps/record-viewer/bd674d3f-0ba6-46ce-a002-b76935e582ea,"['PKGC_Focus', 'HW', 'HW.ERR', 'HW.CORR']"
6eac3459,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/6eac3459-8e6a-4e2f-a411-8f8fd782fa37,jf04wvaw5127,Test,c87bf328-7385-459b-bc2c-34b0416b2b98,Mesh,6eac3459-8e6a-4e2f-a411-8f8fd782fa37,16023994363,https://axonsv.app.intel.com/apps/record-viewer/c87bf328-7385-459b-bc2c-34b0416b2b98,"['HW', 'HW.CORR', 'HW.ERR', 'HW.MCE', 'HW.MCE.MLC', 'HW.MCE.UPI']"
ac3f3a7f,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/ac3f3a7f-2d99-4af8-9574-76ef6951365c,jf04wvaw5054,PreTest,,Concurrency,ac3f3a7f-2d99-4af8-9574-76ef6951365c,NA,,[]
72ad1ae9,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/72ad1ae9-bf7d-4819-b7aa-99767d7bc76f,ba05wvaw0111,Test,e6cd32f3-5b9d-4ba9-afbd-5737928dd80d,Mesh,72ad1ae9-bf7d-4819-b7aa-99767d7bc76f,16023994363,https://axonsv.app.intel.com/apps/record-viewer/e6cd32f3-5b9d-4ba9-afbd-5737928dd80d,"['HW', 'HW.CORR', 'HW.ERR', 'HW.KNOWN_ISSUE', 'HW.MCE', 'HW.MCE.MLC', 'HW.MCE.UPI']"
f9fb87c0,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/f9fb87c0-3522-4541-a6c4-da2cfc2ea309,jf04wvaw5119,PreTest,,CXL,f9fb87c0-3522-4541-a6c4-da2cfc2ea309,NA,,[]
fb7d0e30,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/fb7d0e30-7ead-44bf-91da-4677420b66bd,ba05wvaw0053,Test,2688f029-b2d4-4d46-8258-61fb07b6ca96,UPI,fb7d0e30-7ead-44bf-91da-4677420b66bd,NA,https://axonsv.app.intel.com/apps/record-viewer/2688f029-b2d4-4d46-8258-61fb07b6ca96,"['HW', 'HW.ERR', 'HW.CORR']"
9419b5c6,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/9419b5c6-94a0-40cb-af88-e319c85ec97a,ba05wvaw0116,PreTest,,RDT_Mesh,9419b5c6-94a0-40cb-af88-e319c85ec97a,NA,,[]
be34f21d,https://nga.laas.intel.com/#/nga_fv_gnr/failureManagement/failures/be34f21d-e387-4bf2-8e89-26a267646fd8,ba05wvaw0089,Test,187708c5-456a-b767-2948-0401845a2b91,Reset-Matrix,be34f21d-e387-4bf2-8e89-26a267646fd8,16023853624,https://axonsv.app.intel.com/apps/record-viewer/187708c5-456a-b767-2948-0401845a2b91,"['HW', 'HW.ERR', 'HW.CORR']"
