Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
6fa6fed6,jf04wvaw5139,PreBoot,,,6fa6fed6-d40b-4af5-83ae-25b13f423f69,NA,,[]
f430e1e6,jf04wvaw5077,Test,,,f430e1e6-5ac5-4475-a5cd-b1ec075a8f87,NA,,[]
3dcb5ddb,ba05wvaw0053,PreBoot,,Reset,3dcb5ddb-48f9-4d85-a28a-27ab92c8c940,NA,,[]
114de1b2,jf04wvaw5018,Test,,,114de1b2-9d27-41b1-a448-8059f1f718a1,NA,,[]
5c6cc1bf,jf04wvaw5307,Test,,,5c6cc1bf-9503-4d55-a9b8-5be4be291a3f,NA,,[]
8884d52e,ba05wvaw0113,PreBoot,,,8884d52e-c311-4216-b84e-46931c957699,NA,,[]
564c9792,jf04wvaw5119,Test,,,564c9792-02a2-437a-9d73-790a6bdd3f37,NA,,[]
2c8a728e,jf04wvaw5022,Test,,Reset,2c8a728e-cf45-49f9-807d-f69bef011e44,NA,,[]
90e8f7e1,ba05wvaw0113,PreBoot,,,90e8f7e1-01a0-4d98-bba4-a7fc47e8cd3c,NA,,[]
ab7f835b,jf04wvaw5088,Test,,,ab7f835b-3ad6-4f9b-893e-5f9ea952e6b2,NA,,[]
82d55114,jf04wvaw5139,Test,,,82d55114-3d6a-4a17-a5c0-0e4849bfc48d,NA,,[]
be981e54,ba05wvaw0113,PreBoot,,,be981e54-0d2a-4821-9354-757257d335cb,NA,,[]
8aeadcec,ba05wvaw0004,PreBoot,,,8aeadcec-3fb3-4a32-9605-7f7c5c2064a2,NA,,[]
b877e73e,ba05wvaw0113,PreBoot,,,b877e73e-c080-4102-9b23-2a700e222162,NA,,[]
c77c9be2,jf04wvaw5088,Test,,,c77c9be2-0cdb-4266-80ff-a4ccc729c91b,NA,,[]
a1025de7,jf04wvaw5139,PreTest,,,a1025de7-2e13-4044-8c93-b1402ab1e62e,NA,,[]
8f346e28,jf04wvaw5337,Test,,,8f346e28-ffeb-489e-9ce2-275ef18ed4bc,NA,,[]
bfda4e08,jf04wvaw5088,PreBoot,,,bfda4e08-e7a5-43ac-bd48-37707496141f,NA,,[]
3ab73d51,jf04wvaw5307,Test,,,3ab73d51-a4b8-430d-b316-ab5878f915b1,NA,,[]
a3128114,jf04wvaw5022,Test,,,a3128114-d728-4a44-bcba-ea68c1929f59,NA,,[]
a1438c14,ba05wvaw0113,PreBoot,,,a1438c14-5d2c-43b0-9a4b-95918abcd771,NA,,[]
dd9b9f59,ba05wvaw0113,PreBoot,,,dd9b9f59-1502-410a-850b-a2e5df3ddf3f,NA,,[]
