Failure Name,Errors,agglomerativeClustering_SpectralEmbedding_BERT8,hsdes_link,axon_link,Group Name
22f33636,"['corerrsts_oob.advisory_non_fatal_error_status','corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,,,PM
02ef9762,"['corerrsts_oob.advisory_non_fatal_error_status','corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,,,PM
b37e4201,"['corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",4,,,PM
f5a98f6f,"['corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,https://hsdes.intel.com/appstore/article/#/14023971471,https://axon.intel.com/app/view/acdac2b4-8f8d-440b-9d63-93d6016aa712,RDT_Mesh
149409d2,"['corerrsts_oob.advisory_non_fatal_error_status','corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,,,RDT_Mesh
810cecf9,"['corerrsts_oob.advisory_non_fatal_error_status','corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,https://hsdes.intel.com/appstore/article/#/14023971471,https://axon.intel.com/app/view/de2d99ae-5c41-4854-a49b-2abb0483c4ab,RDT_Mesh
563713bf,"['corerrsts_oob.advisory_non_fatal_error_status','corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",4,,,RDT_Mesh
56f7c9da,"['corerrsts_oob.advisory_non_fatal_error_status','corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,,,RDT_Mesh
bf7c4add,"['corerrsts_oob.advisory_non_fatal_error_status','corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,https://hsdes.intel.com/appstore/article/#/14023962527,https://axon.intel.com/app/view/7acd8df6-256b-433d-8048-32eeae13b62b,RDT_Mesh
eee9f708,"['corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,,,RDT_Mesh
ce59e119,"['corerrsts_oob.advisory_non_fatal_error_status','corerrsts_msm.advisory_non_fatal_error_status','corerrsts_oob.advisory_non_fatal_error_status','msm_global_status_ctrl_reg.pcode_err:PCI_ERRloggedandoccurredgoingtoPUNIT','msm_global_status_ctrl_reg.peci_err:PCI_ERRloggedandsent(maybe)forPECI','msm_global_status_ctrl_reg.msm_pmsb_err:ErroronPMSB(PCI_ERRloggedforPMSB)']",3,https://hsdes.intel.com/appstore/article/#/14023962527,https://axon.intel.com/app/view/f39c9f93-92a8-4ce5-bfce-ade9afa123cf,RDT_Mesh
