Failure Name,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
5dbf3896,ba05wvaw0278,PreBoot,,CI_GNR_D_DF,5dbf3896-d68c-40ba-9ddf-78c769ac88d8,NA,,[]
e6d3fcc9,ba05wvaw0258,Test,1430e040-982f-49db-88fc-4221207535a9,MMX,e6d3fcc9-ed39-4fd2-ac8c-01c842d9481b,NA,https://axonsv.app.intel.com/apps/record-viewer/1430e040-982f-49db-88fc-4221207535a9,"['HW.CORR', 'HW.ERR', 'HW']"
ef77b26a,ba05wvaw0250,Test,a1a62c2d-ec01-4699-be36-4f554f17c42c,Mesh,ef77b26a-28ca-4ebb-8814-cfe157222a6d,NA,https://axonsv.app.intel.com/apps/record-viewer/a1a62c2d-ec01-4699-be36-4f554f17c42c,"['HW.CORR', 'HW.ERR', 'HW']"
84bc0faf,ba05wvaw0250,Test,125478af-1669-44fa-b98a-093d546b20ff,Security,84bc0faf-5e4f-4776-b82d-b53ddcaaced4,NA,https://axonsv.app.intel.com/apps/record-viewer/125478af-1669-44fa-b98a-093d546b20ff,"['HW.CORR', 'HW', 'HW.ERR']"
9627c537,ba05wvaw0276,PreBoot,,CI_GNR_D_DF,9627c537-e490-488d-afcc-9daad403b3a2,NA,,[]
61c219ba,ba05wvaw0245,Test,659cb425-754e-4e19-b611-212b7a45b545,RDT_Mesh,61c219ba-a18a-4571-8b48-f1e1efff6559,NA,https://axonsv.app.intel.com/apps/record-viewer/659cb425-754e-4e19-b611-212b7a45b545,"['HW.CORR', 'HW', 'HW.ERR']"
adc5f7b1,ba05wvaw0236,RebootStation,,CI_GNR_D_DF,adc5f7b1-b2d8-4742-9b8d-eb2643fcf881,NA,,[]
3f15fa34,ba05wvaw0290,PreBoot,,CI_GNR_D_DF,3f15fa34-a894-4132-a8e1-6a7581e2b2e9,NA,,[]
f875160e,ba05wvaw0242,RebootStation,,CI_GNR_D_DF,f875160e-ee19-4bff-8fb7-cdf84c369931,NA,,[]
68104298,ba05wvaw0250,Test,c89cdc68-7f40-4642-aac7-e122b909e501,Mesh,68104298-62c2-418d-ab11-69da390b400c,NA,https://axonsv.app.intel.com/apps/record-viewer/c89cdc68-7f40-4642-aac7-e122b909e501,"['HW.CORR', 'HW.ERR', 'HW']"
0d577fa9,ba05wvaw0266,PreBoot,,CI_GNR_D_DF,0d577fa9-98e3-439e-99eb-5017f2789cb6,NA,,[]
103cf461,ba05wvaw0236,RebootStation,,CI_GNR_D_DF,103cf461-ddbc-404a-8f8d-87c0c4073086,NA,,[]
4d4f1962,ba05wvaw0274,Test,6f8f0e3a-6e23-43c4-abd3-413fd313931c,Concurrency,4d4f1962-ca70-464b-9c69-d09065a51a72,NA,https://axonsv.app.intel.com/apps/record-viewer/6f8f0e3a-6e23-43c4-abd3-413fd313931c,"['HW.CORR', 'HW.ERR', 'HW']"
b235f3ca,ba05wvaw0286,PreTest,,CI_GNR_D_DF,b235f3ca-efd8-4049-9d6a-d610b5e231b4,NA,,[]
