Failure Name,NGA_Link,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
8e020a1a,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/8e020a1a-3815-423b-89c5-b726133d571e,ba05wvaw0266,PreBoot,,CI_GNR_D_DF,8e020a1a-3815-423b-89c5-b726133d571e,NA,,[]
9244081e,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/9244081e-ad37-4c74-95c3-5796f2c829b2,ba05wvaw0276,PreBoot,,CI_GNR_D_DF,9244081e-ad37-4c74-95c3-5796f2c829b2,NA,,[]
e13bcdbd,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/e13bcdbd-b6d1-4bd7-b80f-79b88c8bb4d4,ba05wvaw0283,PostTest,8506cc0a-6c48-4150-b821-63fefcb75f18,CI_GNR_D_DF,e13bcdbd-b6d1-4bd7-b80f-79b88c8bb4d4,NA,https://axonsv.app.intel.com/apps/record-viewer/8506cc0a-6c48-4150-b821-63fefcb75f18,"['HW.CFG.ERR', 'HW.CORR', 'HW', 'HW.ERR']"
687bd76b,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/687bd76b-0f07-401e-bfce-52a5752b6e69,ba05wvaw0266,PreBoot,,CI_GNR_D_DF,687bd76b-0f07-401e-bfce-52a5752b6e69,NA,,[]
83ebac92,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/83ebac92-0af1-4f51-b21b-6ed18b54ba6b,ba05wvaw0276,PreBoot,,CI_GNR_D_DF,83ebac92-0af1-4f51-b21b-6ed18b54ba6b,NA,,[]
40705895,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/40705895-5ae1-432e-9a4d-4d5c06ef6a40,ba05wvaw0292,PreBoot,,CI_GNR_D_DF,40705895-5ae1-432e-9a4d-4d5c06ef6a40,NA,,[]
08c528ac,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/08c528ac-b6b6-482a-892a-a51c5f147796,ba05wvaw0266,RebootStation,,CI_GNR_D_DF,08c528ac-b6b6-482a-892a-a51c5f147796,NA,,[]
9d2fab2f,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/9d2fab2f-293a-49c4-a652-e39e26e4d6bf,ba05wvaw0283,PostTest,8891d652-a201-45bf-bc6b-bd10922b74b5,CI_GNR_D_DF,9d2fab2f-293a-49c4-a652-e39e26e4d6bf,NA,https://axonsv.app.intel.com/apps/record-viewer/8891d652-a201-45bf-bc6b-bd10922b74b5,"['HW.CFG.ERR', 'HW.CORR', 'HW', 'HW.ERR']"
d0817046,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/d0817046-24d2-4e43-9f34-6ae278049d78,ba05wvaw0276,RebootStation,,CI_GNR_D_DF,d0817046-24d2-4e43-9f34-6ae278049d78,NA,,[]
4a941b52,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/4a941b52-359f-4c6e-b1ef-3ac0828ebe32,ba05wvaw0266,RebootStation,,CI_GNR_D_DF,4a941b52-359f-4c6e-b1ef-3ac0828ebe32,NA,,[]
40340f34,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/40340f34-9748-4e69-921f-a67170864840,ba05wvaw0283,Test,828cd90a-5ad5-413c-9559-b4c0658de446,CI_GNR_D_DF,40340f34-9748-4e69-921f-a67170864840,NA,https://axonsv.app.intel.com/apps/record-viewer/828cd90a-5ad5-413c-9559-b4c0658de446,"['HW', 'HW.CFG.ERR', 'HW.ERR', 'HW.CORR']"
29cc84cc,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/29cc84cc-e942-4212-806d-54e9a53920e5,ba05wvaw0292,PreBoot,,CI_GNR_D_DF,29cc84cc-e942-4212-806d-54e9a53920e5,NA,,[]
f9fc0a52,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/f9fc0a52-abb5-4b95-ba13-adb6fcb4dc31,ba05wvaw0276,PreBoot,,CI_GNR_D_DF,f9fc0a52-abb5-4b95-ba13-adb6fcb4dc31,NA,,[]
2b352440,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/2b352440-e287-4bfe-b23d-96b73f307002,ba05wvaw0266,PreBoot,,CI_GNR_D_DF,2b352440-e287-4bfe-b23d-96b73f307002,NA,,[]
